City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Hithadhoo,MV,83.21,broken clouds,-0.6,73.0833,Scoop Guest House
8,Atuona,PF,80.33,overcast clouds,-9.8,-139.0333,Villa Enata
13,Garissa,KE,86.34,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
20,Bandarbeyla,SO,79.54,few clouds,9.4942,50.8122,JABIR HOTEL
25,Port Maria,JM,85.96,clear sky,18.3685,-76.8895,Galina Breeze Hotel
30,Galle,LK,80.44,overcast clouds,6.0367,80.217,Amangalla
32,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
34,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
35,Mehndawal,IN,87.89,clear sky,26.9753,83.1117,Sarvendra rammurat vishwakarma sadan
36,Butaritari,KI,82.76,light rain,3.0707,172.7902,Isles Sunset Lodge
38,Kavieng,PG,80.67,moderate rain,-2.5744,150.7967,Nusa Island Retreat
45,Laguna,US,78.62,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
52,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
58,Cabra,ES,87.39,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
60,Porto Velho,BR,89.65,clear sky,-8.7619,-63.9039,Hotel Central
62,Mabaruma,GY,81.75,broken clouds,8.2,-59.7833,Monty Brooms Guest House
63,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
65,Lorengau,PG,80.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
79,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Faanui,PF,80.1,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
91,Tuy Hoa,VN,81.66,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
93,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
97,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
101,Dingle,PH,78.53,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
105,San Patricio,US,85.91,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
107,Victoria,HK,87.33,light rain,22.2855,114.1577,Mini Hotel Central
108,Eyl,SO,80.47,overcast clouds,7.9803,49.8164,Amiin Hotel
116,Oriximina,BR,89.92,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
120,Porbandar,IN,83.55,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
124,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti Beach Resort
126,Vanimo,PG,78.46,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
127,Labuhan,ID,78.6,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
128,Bubaque,GW,77.99,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
130,Palu,ID,76.08,broken clouds,-0.8917,119.8707,Hotel Santika Palu
134,Puri,IN,89.38,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
139,Teknaf,BD,82.6,broken clouds,20.8624,92.3058,Forestry Guesthouse
144,Vila Velha,BR,87.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
145,Itarema,BR,85.68,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
152,Manzil Salim,TN,86.0,broken clouds,35.8567,8.4765,mohamed ben khlil omri
159,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
169,Uga,NG,84.07,light rain,5.9358,7.0793,Hotel De Sunroute Akokwa
176,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
177,Dabhol,IN,79.97,overcast clouds,17.6,73.1667,Ashwamedh Resort
178,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
