City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,2021-05-30 16:50:08,22.0752,-159.319,69.78,88,1,3.4,clear sky
1,Cape Town,ZA,2021-05-30 16:45:09,-33.9258,18.4232,61.21,69,0,4.5,clear sky
2,Hermanus,ZA,2021-05-30 16:50:08,-34.4187,19.2345,58.89,80,79,3.24,broken clouds
3,Khandbari,NP,2021-05-30 16:50:08,27.3747,87.2039,71.85,83,35,1.66,scattered clouds
4,Ushuaia,AR,2021-05-30 16:50:09,-54.8,-68.3,31.62,100,90,9.22,snow
5,Hithadhoo,MV,2021-05-30 16:50:09,-0.6,73.0833,83.21,73,52,16.64,broken clouds
6,Ciudad Bolivar,VE,2021-05-30 16:50:10,8.1222,-63.5497,95.45,34,69,7.87,broken clouds
7,Codrington,AU,2021-05-30 16:50:10,-38.2667,141.9667,40.89,72,2,8.34,clear sky
8,Atuona,PF,2021-05-30 16:50:10,-9.8,-139.0333,80.33,60,87,8.05,overcast clouds
9,Yellowknife,CA,2021-05-30 16:48:52,62.456,-114.3525,43.32,70,75,6.91,broken clouds
10,Cherskiy,RU,2021-05-30 16:50:11,68.75,161.3,51.93,46,12,6.35,few clouds
11,Pangnirtung,CA,2021-05-30 16:50:11,66.1451,-65.7125,30.2,86,90,11.5,overcast clouds
12,Punta Arenas,CL,2021-05-30 16:50:12,-53.15,-70.9167,37.51,56,40,9.71,scattered clouds
13,Garissa,KE,2021-05-30 16:50:12,-0.4536,39.6401,86.34,42,96,19.71,overcast clouds
14,New Norfolk,AU,2021-05-30 16:50:13,-42.7826,147.0587,40.71,85,44,3.24,scattered clouds
15,Fortuna,US,2021-05-30 16:50:13,40.5982,-124.1573,58.66,87,98,8.21,overcast clouds
16,Chokurdakh,RU,2021-05-30 16:50:13,70.6333,147.9167,51.1,48,23,9.26,few clouds
17,Tiksi,RU,2021-05-30 16:50:14,71.6872,128.8694,30.96,95,8,7.31,clear sky
18,Andilamena,MG,2021-05-30 16:50:14,-17.0167,48.5833,60.48,98,8,4.79,clear sky
19,Moree,AU,2021-05-30 16:50:15,-29.4667,149.85,44.62,81,7,8.05,clear sky
20,Bandarbeyla,SO,2021-05-30 16:50:15,9.4942,50.8122,79.54,85,22,29.86,few clouds
21,Avarua,CK,2021-05-30 16:50:12,-21.2078,-159.775,69.85,78,75,3.44,broken clouds
22,Poum,NC,2021-05-30 16:50:16,-20.2333,164.0167,72.1,57,50,13.02,scattered clouds
23,Busselton,AU,2021-05-30 16:50:17,-33.65,115.3333,54.09,71,100,14.76,overcast clouds
24,Chifeng,CN,2021-05-30 16:48:53,42.2683,118.9636,61.14,56,32,5.53,scattered clouds
25,Port Maria,JM,2021-05-30 16:45:56,18.3685,-76.8895,85.96,82,7,11.18,clear sky
26,Bose,IT,2021-05-30 16:50:18,45.4612,8.0137,72.36,61,82,2.01,broken clouds
27,Bluff,NZ,2021-05-30 16:50:18,-46.6,168.3333,49.8,94,100,22.32,overcast clouds
28,Rawson,AR,2021-05-30 16:50:19,-43.3002,-65.1023,44.89,61,75,15.99,broken clouds
29,Meylan,FR,2021-05-30 16:50:19,45.2199,5.7901,74.68,58,63,4.54,broken clouds
30,Galle,LK,2021-05-30 16:46:34,6.0367,80.217,80.44,86,99,14.52,overcast clouds
31,Hilo,US,2021-05-30 16:46:57,19.7297,-155.09,73.11,85,75,0.0,broken clouds
32,Quelimane,MZ,2021-05-30 16:50:20,-17.8786,36.8883,75.15,83,0,7.0,clear sky
33,Jamestown,US,2021-05-30 16:50:20,42.097,-79.2353,62.19,54,40,23.02,scattered clouds
34,Georgetown,MY,2021-05-30 16:46:00,5.4112,100.3354,85.89,83,20,3.0,few clouds
35,Mehndawal,IN,2021-05-30 16:50:21,26.9753,83.1117,87.89,59,1,1.81,clear sky
36,Butaritari,KI,2021-05-30 16:50:21,3.0707,172.7902,82.76,78,92,15.39,light rain
37,Rikitea,PF,2021-05-30 16:50:22,-23.1203,-134.9692,74.68,79,100,16.31,light rain
38,Kavieng,PG,2021-05-30 16:50:22,-2.5744,150.7967,80.67,81,97,9.62,moderate rain
39,Cidreira,BR,2021-05-30 16:50:23,-30.1811,-50.2056,57.34,45,0,11.23,clear sky
40,Bredasdorp,ZA,2021-05-30 16:50:23,-34.5322,20.0403,56.52,82,88,2.28,overcast clouds
41,Mataura,NZ,2021-05-30 16:50:23,-46.1927,168.8643,49.48,97,100,3.53,moderate rain
42,Port Alfred,ZA,2021-05-30 16:50:24,-33.5906,26.891,58.53,62,32,6.78,scattered clouds
43,Kailua,US,2021-05-30 16:50:24,21.4022,-157.7394,74.07,59,69,1.86,broken clouds
44,Upernavik,GL,2021-05-30 16:50:24,72.7868,-56.1549,31.73,94,100,7.18,overcast clouds
45,Laguna,US,2021-05-30 16:50:25,38.421,-121.4238,78.62,63,1,1.99,clear sky
46,Ajaccio,FR,2021-05-30 16:50:26,42.0,8.9167,69.78,60,0,1.28,clear sky
47,Fenoarivo,MG,2021-05-30 16:50:26,-18.933,47.4354,66.27,72,40,3.13,scattered clouds
48,Yumen,CN,2021-05-30 16:50:26,40.2833,97.2,68.79,20,99,11.21,overcast clouds
49,Ndola,ZM,2021-05-30 16:50:27,-12.9587,28.6366,61.61,38,0,1.43,clear sky
50,Clyde River,CA,2021-05-30 16:50:27,70.4692,-68.5914,30.43,86,75,4.61,broken clouds
51,Elliot Lake,CA,2021-05-30 16:50:27,46.3834,-82.6331,60.89,30,1,6.46,clear sky
52,Bambous Virieux,MU,2021-05-30 16:50:28,-20.3428,57.7575,75.45,83,20,6.89,few clouds
53,Ribeira Grande,PT,2021-05-30 16:50:28,38.5167,-28.7,70.2,64,40,6.91,scattered clouds
54,Dunedin,NZ,2021-05-30 16:50:29,-45.8742,170.5036,50.81,98,100,11.18,overcast clouds
55,Mount Isa,AU,2021-05-30 16:50:29,-20.7333,139.5,55.17,50,3,1.14,clear sky
56,Lompoc,US,2021-05-30 16:50:29,34.6391,-120.4579,68.38,82,90,8.05,overcast clouds
57,Nikolskoye,RU,2021-05-30 16:50:30,59.7035,30.7861,54.39,50,7,4.45,clear sky
58,Cabra,ES,2021-05-30 16:50:30,37.4725,-4.4421,87.39,37,100,1.01,overcast clouds
59,Ahipara,NZ,2021-05-30 16:50:31,-35.1667,173.1667,57.81,82,97,18.88,light rain
60,Porto Velho,BR,2021-05-30 16:48:47,-8.7619,-63.9039,89.65,48,0,8.05,clear sky
61,Barrow,US,2021-05-30 16:50:31,71.2906,-156.7887,30.22,86,90,13.8,overcast clouds
62,Mabaruma,GY,2021-05-30 16:50:32,8.2,-59.7833,81.75,82,77,6.98,broken clouds
63,Miri,MY,2021-05-30 16:46:42,4.4148,114.0089,77.14,94,20,4.59,few clouds
64,Jaisalmer,IN,2021-05-30 16:50:32,26.9147,70.9181,94.26,46,0,24.87,clear sky
65,Lorengau,PG,2021-05-30 16:50:32,-2.0226,147.2712,80.4,85,100,8.23,overcast clouds
66,Lebu,CL,2021-05-30 16:50:33,-37.6167,-73.65,56.82,70,100,6.06,overcast clouds
67,Drayton Valley,CA,2021-05-30 16:50:33,53.2168,-114.9854,57.9,50,9,5.57,clear sky
68,Eureka,US,2021-05-30 16:50:34,40.8021,-124.1637,53.58,87,99,1.01,overcast clouds
69,Ereymentau,KZ,2021-05-30 16:50:34,51.6199,73.1033,68.88,44,87,5.55,overcast clouds
70,Pevek,RU,2021-05-30 16:50:34,69.7008,170.3133,37.89,70,0,5.64,clear sky
71,Evensk,RU,2021-05-30 16:50:35,61.95,159.2333,38.57,79,100,1.52,overcast clouds
72,Saskylakh,RU,2021-05-30 16:50:35,71.9167,114.0833,36.05,89,100,3.13,overcast clouds
73,Te Anau,NZ,2021-05-30 16:50:35,-45.4167,167.7167,47.71,96,100,5.12,overcast clouds
74,Bend,US,2021-05-30 16:50:36,44.0582,-121.3153,68.32,30,1,1.99,clear sky
75,Thunder Bay,CA,2021-05-30 16:45:39,48.4001,-89.3168,54.99,62,90,6.91,overcast clouds
76,Aranos,NA,2021-05-30 16:50:36,-24.1333,19.1167,65.39,27,1,9.31,clear sky
77,Saint-Francois,FR,2021-05-30 16:50:36,46.4154,3.9054,72.84,34,0,8.05,clear sky
78,Southbridge,US,2021-05-30 16:50:37,42.0751,-72.0334,49.39,98,100,13.15,moderate rain
79,Mahebourg,MU,2021-05-30 16:50:37,-20.4081,57.7,75.49,83,20,6.91,few clouds
80,Dikson,RU,2021-05-30 16:50:38,73.5069,80.5464,31.73,93,100,11.92,overcast clouds
81,Osmaniye,TR,2021-05-30 16:50:38,37.0742,36.2478,72.52,85,1,3.58,clear sky
82,Talnakh,RU,2021-05-30 16:50:39,69.4865,88.3972,37.29,82,100,25.7,light rain
83,Morondava,MG,2021-05-30 16:50:39,-20.2833,44.2833,73.47,68,0,10.89,clear sky
84,Bethel,US,2021-05-30 16:50:39,41.3712,-73.414,50.58,90,90,4.0,overcast clouds
85,Nyurba,RU,2021-05-30 16:50:40,63.2842,118.3319,48.43,55,65,1.52,broken clouds
86,Rabo De Peixe,PT,2021-05-30 16:50:40,37.8,-25.5833,67.51,60,20,10.4,few clouds
87,Ous,RU,2021-05-30 16:50:41,60.9058,61.5186,41.68,85,100,4.0,overcast clouds
88,Saint-Philippe,RE,2021-05-30 16:50:41,-21.3585,55.7679,70.21,84,37,8.43,scattered clouds
89,Faanui,PF,2021-05-30 16:50:41,-16.4833,-151.75,80.1,76,93,14.81,overcast clouds
90,Narsaq,GL,2021-05-30 16:50:42,60.9167,-46.05,43.65,67,62,3.98,broken clouds
91,Tuy Hoa,VN,2021-05-30 16:50:42,13.0833,109.3,81.66,78,28,5.44,scattered clouds
92,Mahbubabad,IN,2021-05-30 16:50:43,17.6167,80.0167,93.88,38,80,4.25,broken clouds
93,Cabedelo,BR,2021-05-30 16:50:43,-6.9811,-34.8339,83.07,76,71,13.42,broken clouds
94,Vuktyl,RU,2021-05-30 16:50:43,63.8567,57.3094,42.22,54,82,9.37,broken clouds
95,Miraflores,MX,2021-05-30 16:50:44,19.2167,-98.8083,68.65,39,7,2.1,clear sky
96,Yeppoon,AU,2021-05-30 16:50:44,-23.1333,150.7333,60.58,87,2,10.31,clear sky
97,Puerto Ayora,EC,2021-05-30 16:50:45,-0.7393,-90.3518,80.56,79,69,5.99,broken clouds
98,Qaanaaq,GL,2021-05-30 16:50:45,77.484,-69.3632,32.4,91,100,5.39,overcast clouds
99,Kruisfontein,ZA,2021-05-30 16:50:45,-34.0033,24.7314,56.88,72,100,9.15,overcast clouds
100,Esil,KZ,2021-05-30 16:50:46,51.9556,66.4042,68.41,64,71,17.72,light rain
101,Dingle,PH,2021-05-30 16:50:46,10.9995,122.6711,78.53,90,81,1.97,broken clouds
102,Ponta Do Sol,PT,2021-05-30 16:50:47,32.6667,-17.1,70.72,76,37,4.79,scattered clouds
103,Ilabaya,PE,2021-05-30 16:50:47,-17.4208,-70.5133,72.37,43,100,9.24,overcast clouds
104,Hobart,AU,2021-05-30 16:50:47,-42.8794,147.3294,41.05,89,31,5.08,scattered clouds
105,San Patricio,US,2021-05-30 16:50:48,28.017,-97.5169,85.91,57,12,14.18,few clouds
106,Kaitangata,NZ,2021-05-30 16:50:48,-46.2817,169.8464,49.39,94,100,8.99,overcast clouds
107,Victoria,HK,2021-05-30 16:49:12,22.2855,114.1577,87.33,85,98,1.01,light rain
108,Eyl,SO,2021-05-30 16:50:49,7.9803,49.8164,80.47,79,98,20.62,overcast clouds
109,Koygorodok,RU,2021-05-30 16:50:49,60.445,50.9968,43.18,51,48,10.04,scattered clouds
110,Chuy,UY,2021-05-30 16:50:50,-33.6971,-53.4616,55.63,45,4,12.57,clear sky
