City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,76.91,79,97,18.66,PF,2021-05-24 22:52:23
1,Nalut,30.3333,10.85,85.87,22,96,12.35,LY,2021-05-24 22:52:23
2,Sao Filipe,14.8961,-24.4956,72.59,79,3,10.92,CV,2021-05-24 22:52:24
3,Klaksvik,62.2266,-6.589,47.32,91,69,14.99,FO,2021-05-24 22:52:24
4,Sao Joao Da Barra,-21.6403,-41.0511,71.74,67,100,13.62,BR,2021-05-24 22:52:24
5,Punta Arenas,-53.15,-70.9167,33.91,69,20,24.05,CL,2021-05-24 22:47:43
6,Tuktoyaktuk,69.4541,-133.0374,32.0,93,90,8.05,CA,2021-05-24 22:52:25
7,San Quintin,30.4833,-115.95,68.9,61,3,15.39,MX,2021-05-24 22:52:26
8,Bathsheba,13.2167,-59.5167,81.21,73,40,18.05,BB,2021-05-24 22:52:26
9,Port Lincoln,-34.7333,135.8667,57.45,70,42,28.16,AU,2021-05-24 22:52:26
10,Ayr,55.4627,-4.6339,48.31,81,40,14.97,GB,2021-05-24 22:52:27
11,Touros,-5.1989,-35.4608,77.9,79,95,12.91,BR,2021-05-24 22:52:28
12,Port Alfred,-33.5906,26.891,71.85,45,100,10.98,ZA,2021-05-24 22:52:28
13,Leningradskiy,69.3833,178.4167,34.02,91,100,10.42,RU,2021-05-24 22:52:28
14,Iqaluit,63.7506,-68.5145,22.73,53,75,10.0,CA,2021-05-24 22:52:29
15,Cordoba,-31.4135,-64.1811,60.42,41,0,6.49,AR,2021-05-24 22:52:29
16,Bredasdorp,-34.5322,20.0403,52.29,88,77,3.76,ZA,2021-05-24 22:52:30
17,Ixtapa,20.7,-105.2,90.9,31,1,7.27,MX,2021-05-24 22:52:30
18,Ribeira Grande,38.5167,-28.7,62.82,74,100,19.1,PT,2021-05-24 22:52:30
19,Khatanga,71.9667,102.5,31.78,99,100,2.86,RU,2021-05-24 22:52:31
20,Ushuaia,-54.8,-68.3,29.86,93,90,31.07,AR,2021-05-24 22:49:24
21,Qaanaaq,77.484,-69.3632,31.44,75,5,6.71,GL,2021-05-24 22:51:51
22,Stornoway,58.2093,-6.3865,48.16,81,75,14.97,GB,2021-05-24 22:52:32
23,Ilulissat,69.2167,-51.1,41.22,47,100,17.16,GL,2021-05-24 22:52:32
24,Saint-Philippe,-21.3585,55.7679,71.19,76,71,10.76,RE,2021-05-24 22:52:32
25,Castro,-24.7911,-50.0119,46.44,69,89,1.83,BR,2021-05-24 22:52:33
26,Belawan,3.7755,98.6832,79.09,91,100,3.44,ID,2021-05-24 22:52:33
27,Bluff,-46.6,168.3333,40.75,74,5,4.97,NZ,2021-05-24 22:52:34
28,Katsuura,35.1333,140.3,70.23,75,80,6.17,JP,2021-05-24 22:52:34
29,Diebougou,10.9667,-3.25,87.78,42,66,6.82,BF,2021-05-24 22:52:34
30,Santa Rosa,14.3122,121.1114,84.09,78,29,3.22,PH,2021-05-24 22:52:09
31,Vaini,-21.2,-175.2,77.16,73,75,6.91,TO,2021-05-24 22:52:35
32,Keuruu,62.2667,24.7,40.95,95,40,2.21,FI,2021-05-24 22:52:35
33,Busselton,-33.65,115.3333,48.09,71,100,3.0,AU,2021-05-24 22:52:36
34,Beaufort,5.3473,115.7455,78.96,91,100,3.71,MY,2021-05-24 22:52:36
35,Airai,-8.9266,125.4092,61.86,83,12,3.02,TL,2021-05-24 22:52:37
36,Garissa,-0.4536,39.6401,73.71,80,16,12.66,KE,2021-05-24 22:52:37
37,Morro Bay,35.3658,-120.8499,92.93,74,6,5.99,US,2021-05-24 22:52:37
38,Seddon,-37.8068,144.8916,64.98,57,0,19.57,AU,2021-05-24 22:52:38
39,Port Elizabeth,-33.918,25.5701,64.69,82,0,8.05,ZA,2021-05-24 22:49:50
40,Pangnirtung,66.1451,-65.7125,26.6,74,90,8.05,CA,2021-05-24 22:52:38
41,Bethel,41.3712,-73.414,65.48,52,1,8.05,US,2021-05-24 22:52:39
42,Aksu,41.1231,80.2644,66.74,22,100,4.09,CN,2021-05-24 22:52:39
43,Foix,42.8333,1.5833,48.02,90,87,2.8,FR,2021-05-24 22:52:40
44,Necochea,-38.5473,-58.7368,58.03,57,5,18.9,AR,2021-05-24 22:52:40
45,Hilo,19.7297,-155.09,83.8,75,1,18.41,US,2021-05-24 22:52:41
46,Yellowknife,62.456,-114.3525,42.33,38,20,8.01,CA,2021-05-24 22:52:09
47,Oranjemund,-28.55,16.4333,62.6,68,100,2.93,NA,2021-05-24 22:52:41
48,Kaitangata,-46.2817,169.8464,43.93,72,3,5.03,NZ,2021-05-24 22:52:42
49,Plainview,40.7765,-73.4673,62.69,51,1,5.01,US,2021-05-24 22:50:19
50,Ostrovnoy,68.0531,39.5131,32.86,73,95,14.27,RU,2021-05-24 22:52:42
